CountryName,CountryCode,Date,cases_weekly,deaths_weekly
Albania,ALB,2021-01-18T00:00:00Z,4095,36
Albania,ALB,2021-01-11T00:00:00Z,4157,48
Albania,ALB,2021-01-04T00:00:00Z,2866,29
Albania,ALB,2020-12-28T00:00:00Z,3569,76
Albania,ALB,2020-12-21T00:00:00Z,4473,85
Albania,ALB,2020-12-14T00:00:00Z,5542,98
Albania,ALB,2020-12-07T00:00:00Z,5363,107
Albania,ALB,2020-11-30T00:00:00Z,4864,99
Albania,ALB,2020-11-23T00:00:00Z,4931,76
Albania,ALB,2020-11-16T00:00:00Z,3624,64
Albania,ALB,2020-11-09T00:00:00Z,3004,41
Albania,ALB,2020-11-02T00:00:00Z,2045,41
Albania,ALB,2020-10-26T00:00:00Z,2102,26
Albania,ALB,2020-10-19T00:00:00Z,1656,31
Albania,ALB,2020-10-12T00:00:00Z,1133,24
Albania,ALB,2020-10-05T00:00:00Z,1007,19
Albania,ALB,2020-09-28T00:00:00Z,874,15
Albania,ALB,2020-09-21T00:00:00Z,1032,28
Albania,ALB,2020-09-14T00:00:00Z,1098,18
Albania,ALB,2020-09-07T00:00:00Z,875,36
Albania,ALB,2020-08-31T00:00:00Z,953,30
Albania,ALB,2020-08-24T00:00:00Z,1047,22
Albania,ALB,2020-08-17T00:00:00Z,969,29
Albania,ALB,2020-08-10T00:00:00Z,892,33
Albania,ALB,2020-08-03T00:00:00Z,756,28
Albania,ALB,2020-07-27T00:00:00Z,673,26
Albania,ALB,2020-07-20T00:00:00Z,636,19
Albania,ALB,2020-07-13T00:00:00Z,561,17
Albania,ALB,2020-07-06T00:00:00Z,491,21
Albania,ALB,2020-06-29T00:00:00Z,475,11
Albania,ALB,2020-06-22T00:00:00Z,406,8
Albania,ALB,2020-06-15T00:00:00Z,275,2
Albania,ALB,2020-06-08T00:00:00Z,109,1
Albania,ALB,2020-06-01T00:00:00Z,139,1
Albania,ALB,2020-05-25T00:00:00Z,52,1
Albania,ALB,2020-05-18T00:00:00Z,78,0
Albania,ALB,2020-05-11T00:00:00Z,73,0
Albania,ALB,2020-05-04T00:00:00Z,69,3
Albania,ALB,2020-04-27T00:00:00Z,164,2
Albania,ALB,2020-04-20T00:00:00Z,116,3
Albania,ALB,2020-04-13T00:00:00Z,85,2
Albania,ALB,2020-04-06T00:00:00Z,149,11
Albania,ALB,2020-03-30T00:00:00Z,123,8
Albania,ALB,2020-03-23T00:00:00Z,47,1
Albania,ALB,2020-03-16T00:00:00Z,40,1
Albania,ALB,2020-03-09T00:00:00Z,2,0
Austria,AUT,2021-01-18T00:00:00Z,11406,383
Austria,AUT,2021-01-11T00:00:00Z,15133,378
Austria,AUT,2021-01-04T00:00:00Z,13188,381
Austria,AUT,2020-12-28T00:00:00Z,15164,656
Austria,AUT,2020-12-21T00:00:00Z,16186,816
Austria,AUT,2020-12-14T00:00:00Z,19060,668
Austria,AUT,2020-12-07T00:00:00Z,22794,828
Austria,AUT,2020-11-30T00:00:00Z,32058,705
