areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-01-06,228,78501
overview,United Kingdom,K02000001,2021-01-05,487,78273
overview,United Kingdom,K02000001,2021-01-04,596,77786
overview,United Kingdom,K02000001,2021-01-03,559,77190
overview,United Kingdom,K02000001,2021-01-02,550,76631
overview,United Kingdom,K02000001,2021-01-01,564,76081
overview,United Kingdom,K02000001,2020-12-31,599,75517
overview,United Kingdom,K02000001,2020-12-30,618,74918
overview,United Kingdom,K02000001,2020-12-29,607,74300
overview,United Kingdom,K02000001,2020-12-28,615,73693
overview,United Kingdom,K02000001,2020-12-27,602,73078
overview,United Kingdom,K02000001,2020-12-26,603,72476
overview,United Kingdom,K02000001,2020-12-25,569,71873
overview,United Kingdom,K02000001,2020-12-24,550,71304
overview,United Kingdom,K02000001,2020-12-23,533,70754
overview,United Kingdom,K02000001,2020-12-22,533,70221
overview,United Kingdom,K02000001,2020-12-21,557,69688
overview,United Kingdom,K02000001,2020-12-20,494,69131
overview,United Kingdom,K02000001,2020-12-19,470,68637
overview,United Kingdom,K02000001,2020-12-18,504,68167
overview,United Kingdom,K02000001,2020-12-17,523,67663
overview,United Kingdom,K02000001,2020-12-16,437,67140
overview,United Kingdom,K02000001,2020-12-15,450,66703
overview,United Kingdom,K02000001,2020-12-14,476,66253
overview,United Kingdom,K02000001,2020-12-13,413,65777
overview,United Kingdom,K02000001,2020-12-12,438,65364
overview,United Kingdom,K02000001,2020-12-11,451,64926
overview,United Kingdom,K02000001,2020-12-10,445,64475
overview,United Kingdom,K02000001,2020-12-09,427,64030
overview,United Kingdom,K02000001,2020-12-08,433,63603
overview,United Kingdom,K02000001,2020-12-07,419,63170
overview,United Kingdom,K02000001,2020-12-06,415,62751
overview,United Kingdom,K02000001,2020-12-05,392,62336
overview,United Kingdom,K02000001,2020-12-04,470,61944
overview,United Kingdom,K02000001,2020-12-03,471,61474
overview,United Kingdom,K02000001,2020-12-02,385,61003
overview,United Kingdom,K02000001,2020-12-01,401,60618
overview,United Kingdom,K02000001,2020-11-30,419,60217
overview,United Kingdom,K02000001,2020-11-29,461,59798
overview,United Kingdom,K02000001,2020-11-28,460,59337
overview,United Kingdom,K02000001,2020-11-27,418,58877
overview,United Kingdom,K02000001,2020-11-26,436,58459
overview,United Kingdom,K02000001,2020-11-25,479,58023
overview,United Kingdom,K02000001,2020-11-24,456,57544
overview,United Kingdom,K02000001,2020-11-23,461,57088
overview,United Kingdom,K02000001,2020-11-22,477,56627
overview,United Kingdom,K02000001,2020-11-21,461,56150
overview,United Kingdom,K02000001,2020-11-20,451,55689
overview,United Kingdom,K02000001,2020-11-19,461,55238
overview,United Kingdom,K02000001,2020-11-18,487,54777
overview,United Kingdom,K02000001,2020-11-17,440,54290
overview,United Kingdom,K02000001,2020-11-16,423,53850
overview,United Kingdom,K02000001,2020-11-15,450,53427
overview,United Kingdom,K02000001,2020-11-14,428,52977
overview,United Kingdom,K02000001,2020-11-13,433,52549
overview,United Kingdom,K02000001,2020-11-12,418,52116
overview,United Kingdom,K02000001,2020-11-11,387,51698
overview,United Kingdom,K02000001,2020-11-10,387,51311
overview,United Kingdom,K02000001,2020-11-09,480,50924
overview,United Kingdom,K02000001,2020-11-08,413,50444
overview,United Kingdom,K02000001,2020-11-07,390,50031
overview,United Kingdom,K02000001,2020-11-06,400,49641
overview,United Kingdom,K02000001,2020-11-05,376,49241
overview,United Kingdom,K02000001,2020-11-04,329,48865
overview,United Kingdom,K02000001,2020-11-03,359,48536
overview,United Kingdom,K02000001,2020-11-02,330,48177
overview,United Kingdom,K02000001,2020-11-01,356,47847
overview,United Kingdom,K02000001,2020-10-31,320,47491
overview,United Kingdom,K02000001,2020-10-30,338,47171
overview,United Kingdom,K02000001,2020-10-29,310,46833
overview,United Kingdom,K02000001,2020-10-28,283,46523
overview,United Kingdom,K02000001,2020-10-27,266,46240
overview,United Kingdom,K02000001,2020-10-26,277,45974
overview,United Kingdom,K02000001,2020-10-25,248,45697
overview,United Kingdom,K02000001,2020-10-24,213,45449
overview,United Kingdom,K02000001,2020-10-23,222,45236
overview,United Kingdom,K02000001,2020-10-22,234,45014
overview,United Kingdom,K02000001,2020-10-21,222,44780
overview,United Kingdom,K02000001,2020-10-20,194,44558
overview,United Kingdom,K02000001,2020-10-19,191,44364
overview,United Kingdom,K02000001,2020-10-18,159,44173
overview,United Kingdom,K02000001,2020-10-17,176,44014
overview,United Kingdom,K02000001,2020-10-16,147,43838
overview,United Kingdom,K02000001,2020-10-15,151,43691
overview,United Kingdom,K02000001,2020-10-14,115,43540
overview,United Kingdom,K02000001,2020-10-13,110,43425
overview,United Kingdom,K02000001,2020-10-12,112,43315
overview,United Kingdom,K02000001,2020-10-11,123,43203
overview,United Kingdom,K02000001,2020-10-10,103,43080
overview,United Kingdom,K02000001,2020-10-09,79,42977
overview,United Kingdom,K02000001,2020-10-08,92,42898
overview,United Kingdom,K02000001,2020-10-07,102,42806
overview,United Kingdom,K02000001,2020-10-06,69,42704
overview,United Kingdom,K02000001,2020-10-05,70,42635
overview,United Kingdom,K02000001,2020-10-04,60,42565
overview,United Kingdom,K02000001,2020-10-03,66,42505
overview,United Kingdom,K02000001,2020-10-02,68,42439
overview,United Kingdom,K02000001,2020-10-01,66,42371
overview,United Kingdom,K02000001,2020-09-30,57,42305
overview,United Kingdom,K02000001,2020-09-29,48,42248
overview,United Kingdom,K02000001,2020-09-28,54,42200
overview,United Kingdom,K02000001,2020-09-27,47,42146
overview,United Kingdom,K02000001,2020-09-26,39,42099
overview,United Kingdom,K02000001,2020-09-25,32,42060
overview,United Kingdom,K02000001,2020-09-24,35,42028
overview,United Kingdom,K02000001,2020-09-23,56,41993
overview,United Kingdom,K02000001,2020-09-22,39,41937
overview,United Kingdom,K02000001,2020-09-21,27,41898
overview,United Kingdom,K02000001,2020-09-20,31,41871
overview,United Kingdom,K02000001,2020-09-19,20,41840
overview,United Kingdom,K02000001,2020-09-18,23,41820
overview,United Kingdom,K02000001,2020-09-17,27,41797
overview,United Kingdom,K02000001,2020-09-16,26,41770
overview,United Kingdom,K02000001,2020-09-15,18,41744
overview,United Kingdom,K02000001,2020-09-14,21,41726
overview,United Kingdom,K02000001,2020-09-13,16,41705
overview,United Kingdom,K02000001,2020-09-12,18,41689
overview,United Kingdom,K02000001,2020-09-11,13,41671
overview,United Kingdom,K02000001,2020-09-10,13,41658
overview,United Kingdom,K02000001,2020-09-09,9,41645
overview,United Kingdom,K02000001,2020-09-08,9,41636
overview,United Kingdom,K02000001,2020-09-07,15,41627
overview,United Kingdom,K02000001,2020-09-06,8,41612
overview,United Kingdom,K02000001,2020-09-05,13,41604
overview,United Kingdom,K02000001,2020-09-04,7,41591
overview,United Kingdom,K02000001,2020-09-03,10,41584
overview,United Kingdom,K02000001,2020-09-02,9,41574
overview,United Kingdom,K02000001,2020-09-01,3,41565
overview,United Kingdom,K02000001,2020-08-31,9,41562
overview,United Kingdom,K02000001,2020-08-30,6,41553
overview,United Kingdom,K02000001,2020-08-29,5,41547
overview,United Kingdom,K02000001,2020-08-28,10,41542
overview,United Kingdom,K02000001,2020-08-27,8,41532
overview,United Kingdom,K02000001,2020-08-26,11,41524
overview,United Kingdom,K02000001,2020-08-25,12,41513
overview,United Kingdom,K02000001,2020-08-24,6,41501
