Development Status (short),Installed Capacity (MWelec),No. of Turbines,Development Status,Country,X-coordinate,Y-coordinate,year
Abandoned,9.1,n/a,Abandoned,Wales,328595,338816,2012
Abandoned,14,7,Abandoned,England,393000,419300,2007
Abandoned,7.5,n/a,Abandoned,England,352547,179879,2011
Abandoned,5,n/a,Abandoned,England,472715,423710,2007
Abandoned,1,n/a,Abandoned,England,303362,113321,2013
Abandoned,1,n/a,Abandoned,England,360121,394484,2005
Abandoned,3,n/a,Abandoned,England,378641,397677,2009
Abandoned,20,n/a,Abandoned,England,515566,428683,2006
Abandoned,13.8,6,Abandoned,Scotland,349269,717002,2011
Abandoned,4,n/a,Abandoned,England,490060,288853,2001
Abandoned,33,n/a,Abandoned,England,448680,317986,2011
Abandoned,3.5,n/a,Abandoned,England,398080,294961,2013
Abandoned,10,n/a,Abandoned,England,438841,313519,2014
Abandoned,4.5,n/a,Abandoned,England,418528,187782,2013
Abandoned,2,n/a,Abandoned,England,549090,169697,2009
Abandoned,240,341,Abandoned,England,611280,179120,2011
Abandoned,40,20,Abandoned,Scotland,276947,835012,2011
Abandoned,39.1,13,Abandoned,Scotland,286470,834480,2009
Abandoned,2,n/a,Abandoned,England,397144,350648,2010
Abandoned,1.5,n/a,Abandoned,Wales,321166,175969,2013
Abandoned,1.3,n/a,Abandoned,England,349663,122127,2014
Abandoned,1,n/a,Abandoned,England,372500,149500,2000
Abandoned,120,n/a,Abandoned,Scotland,310449,682063,2010
Abandoned,4,n/a,Abandoned,England,473235,252464,2015
Abandoned,27.5,11,Abandoned,Wales,282500,368500,2008
Abandoned,14.4,7,Abandoned,England,532606,307038,2006
Abandoned,3,n/a,Abandoned,England,448680,317986,2007
Abandoned,1.5,n/a,Abandoned,Scotland,219607,727417,2013
Abandoned,3.2,n/a,Abandoned,England,228471,72954,2011
Abandoned,1,n/a,Abandoned,England,488703,240458,2010
Abandoned,2.5,3,Abandoned,Scotland,116360,906760,2006
Abandoned,12,n/a,Abandoned,England,346740,147660,2014
Abandoned,40,16,Abandoned,Wales,304304,366301,2007
Abandoned,26,n/a,Abandoned,England,433196,431231,2011
Abandoned,10.2,3,Abandoned,England,359395,492235,2012
Abandoned,15,5,Abandoned,England,465238,431714,2009
Abandoned,16,n/a,Abandoned,England,549072,182452,2010
Abandoned,1.5,n/a,Abandoned,England,359176,146235,2012
Abandoned,5,2,Abandoned,England,496525,425211,2013
Abandoned,9.2,4,Abandoned,England,452877,229216,2008
Abandoned,2,n/a,Abandoned,England,420401,190490,2006
Abandoned,2,n/a,Abandoned,England,334315,443459,2009
Abandoned,2.5,n/a,Abandoned,England,569953,334057,2015
Abandoned,20,n/a,Abandoned,Scotland,209648,776708,2010
Abandoned,2.9,n/a,Abandoned,England,422500,421000,1997
Abandoned,1.5,4,Abandoned,England,653400,303800,1999
Abandoned,1,n/a,Abandoned,England,342587,438278,2005
Abandoned,5,n/a,Abandoned,Wales,329979,198509,2015
Abandoned,6,n/a,Abandoned,England,452824,346221,2013
Abandoned,18.2,n/a,Abandoned,England,393688,230697,2014
Abandoned,4,n/a,Abandoned,England,419112,554227,2015
Abandoned,49,n/a,Abandoned,England,450957,521558,2014
Abandoned,20.7,9,Abandoned,Northern Ireland,48085,535005,2009
Abandoned,15,n/a,Abandoned,England,573903,340478,2013
Abandoned,2,1,Abandoned,England,423215,427292,2009
Abandoned,12.7,n/a,Abandoned,England,361823,131905,2002
Abandoned,10.6,n/a,Abandoned,England,457200,424000,1996
Abandoned,6,n/a,Abandoned,England,511079,205798,2007
Abandoned,50,n/a,Abandoned,England,353367,181676,2009
Abandoned,25.5,n/a,Abandoned,England,467529,438614,2015
Abandoned,49,n/a,Abandoned,England,444971,518650,2011
Abandoned,5,n/a,Abandoned,Wales,331456,202012,2015
Abandoned,32,n/a,Abandoned,England,525420,104804,2012
Abandoned,1.1,n/a,Abandoned,England,613200,275000,2000
Abandoned,5,n/a,Abandoned,Wales,325713,360456,2015
Abandoned,15,5,Abandoned,England,392720,419080,2007
Abandoned,2,n/a,Abandoned,England,475087,253122,2008
Abandoned,3,n/a,Abandoned,England,490943,290854,2013
Abandoned,13.8,6,Abandoned,England,632000,261000,2005
Abandoned,4,5,Abandoned,Scotland,341650,742250,2013
Abandoned,22,n/a,Abandoned,Scotland,389708,811181,2012
Abandoned,5,n/a,Abandoned,England,491216,220825,2014
Abandoned,1.5,n/a,Abandoned,England,221747,87585,2012
Abandoned,4,n/a,Abandoned,Scotland,361978,864118,2009
Abandoned,10,n/a,Abandoned,England,381981,87135,2010
Abandoned,4.7,n/a,Abandoned,Scotland,315251,960032,2010
Abandoned,4.5,n/a,Abandoned,England,515960,272020,2007
Abandoned,1.5,n/a,Abandoned,England,392500,323500,2000
Abandoned,65,n/a,Abandoned,England,519000,411520,2007
Abandoned,1.4,n/a,Abandoned,England,561191,321253,2012
Abandoned,1.8,n/a,Abandoned,NA,580868,172818,2015
Abandoned,9,n/a,Abandoned,Wales,312625,167514,2008
Abandoned,50,n/a,Abandoned,England,538858,209129,2012
Abandoned,4,NA,Abandoned,Scotland,137340,954775,2008
