NHS England Region,date,deaths,dateRecorded,timeDiff
England,2020-09-26,1,2020-10-02,6
England,2020-09-27,2,2020-10-02,5
England,2020-09-28,2,2020-10-02,4
England,2020-09-29,4,2020-10-02,3
England,2020-09-30,29,2020-10-02,2
England,2020-10-01,9,2020-10-02,1
East Of England,2020-09-26,0,2020-10-02,6
East Of England,2020-09-27,0,2020-10-02,5
East Of England,2020-09-28,0,2020-10-02,4
East Of England,2020-09-29,0,2020-10-02,3
East Of England,2020-09-30,2,2020-10-02,2
East Of England,2020-10-01,0,2020-10-02,1
London,2020-09-26,0,2020-10-02,6
London,2020-09-27,0,2020-10-02,5
London,2020-09-28,0,2020-10-02,4
London,2020-09-29,1,2020-10-02,3
London,2020-09-30,4,2020-10-02,2
London,2020-10-01,1,2020-10-02,1
Midlands,2020-09-26,0,2020-10-02,6
Midlands,2020-09-27,2,2020-10-02,5
Midlands,2020-09-28,0,2020-10-02,4
Midlands,2020-09-29,0,2020-10-02,3
Midlands,2020-09-30,4,2020-10-02,2
Midlands,2020-10-01,0,2020-10-02,1
North East And Yorkshire,2020-09-26,0,2020-10-02,6
North East And Yorkshire,2020-09-27,0,2020-10-02,5
North East And Yorkshire,2020-09-28,0,2020-10-02,4
North East And Yorkshire,2020-09-29,1,2020-10-02,3
North East And Yorkshire,2020-09-30,6,2020-10-02,2
North East And Yorkshire,2020-10-01,3,2020-10-02,1
North West,2020-09-26,1,2020-10-02,6
North West,2020-09-27,0,2020-10-02,5
North West,2020-09-28,2,2020-10-02,4
North West,2020-09-29,1,2020-10-02,3
North West,2020-09-30,11,2020-10-02,2
North West,2020-10-01,4,2020-10-02,1
South East,2020-09-26,0,2020-10-02,6
South East,2020-09-27,0,2020-10-02,5
South East,2020-09-28,0,2020-10-02,4
South East,2020-09-29,1,2020-10-02,3
South East,2020-09-30,2,2020-10-02,2
South East,2020-10-01,1,2020-10-02,1
South West,2020-09-26,0,2020-10-02,6
South West,2020-09-27,0,2020-10-02,5
South West,2020-09-28,0,2020-10-02,4
South West,2020-09-29,0,2020-10-02,3
South West,2020-09-30,0,2020-10-02,2
South West,2020-10-01,0,2020-10-02,1
England,2020-08-08,1,2020-10-03,56
England,2020-08-09,1,2020-10-03,55
England,2020-09-29,2,2020-10-03,4
England,2020-09-30,5,2020-10-03,3
England,2020-10-01,21,2020-10-03,2
England,2020-10-02,11,2020-10-03,1
East Of England,2020-08-08,0,2020-10-03,56
East Of England,2020-08-09,0,2020-10-03,55
East Of England,2020-09-29,0,2020-10-03,4
East Of England,2020-09-30,0,2020-10-03,3
East Of England,2020-10-01,2,2020-10-03,2
East Of England,2020-10-02,0,2020-10-03,1
London,2020-08-08,0,2020-10-03,56
London,2020-08-09,0,2020-10-03,55
London,2020-09-29,1,2020-10-03,4
London,2020-09-30,1,2020-10-03,3
London,2020-10-01,3,2020-10-03,2
London,2020-10-02,0,2020-10-03,1
Midlands,2020-08-08,0,2020-10-03,56
Midlands,2020-08-09,0,2020-10-03,55
Midlands,2020-09-29,1,2020-10-03,4
Midlands,2020-09-30,1,2020-10-03,3
Midlands,2020-10-01,3,2020-10-03,2
Midlands,2020-10-02,0,2020-10-03,1
North East And Yorkshire,2020-08-08,1,2020-10-03,56
North East And Yorkshire,2020-08-09,1,2020-10-03,55
North East And Yorkshire,2020-09-29,0,2020-10-03,4
North East And Yorkshire,2020-09-30,0,2020-10-03,3
North East And Yorkshire,2020-10-01,4,2020-10-03,2
North East And Yorkshire,2020-10-02,2,2020-10-03,1
North West,2020-08-08,0,2020-10-03,56
North West,2020-08-09,0,2020-10-03,55
North West,2020-09-29,0,2020-10-03,4
North West,2020-09-30,3,2020-10-03,3
North West,2020-10-01,8,2020-10-03,2
North West,2020-10-02,8,2020-10-03,1
South East,2020-08-08,0,2020-10-03,56
South East,2020-08-09,0,2020-10-03,55
South East,2020-09-29,0,2020-10-03,4
South East,2020-09-30,0,2020-10-03,3
South East,2020-10-01,1,2020-10-03,2
South East,2020-10-02,0,2020-10-03,1
South West,2020-08-08,0,2020-10-03,56
South West,2020-08-09,0,2020-10-03,55
South West,2020-09-29,0,2020-10-03,4
South West,2020-09-30,0,2020-10-03,3
South West,2020-10-01,0,2020-10-03,2
South West,2020-10-02,1,2020-10-03,1
England,2020-10-01,5,2020-10-04,3
England,2020-10-02,16,2020-10-04,2
England,2020-10-03,7,2020-10-04,1
East Of England,2020-10-01,0,2020-10-04,3
East Of England,2020-10-02,1,2020-10-04,2
East Of England,2020-10-03,0,2020-10-04,1
London,2020-10-01,0,2020-10-04,3
London,2020-10-02,0,2020-10-04,2
London,2020-10-03,0,2020-10-04,1
Midlands,2020-10-01,3,2020-10-04,3
Midlands,2020-10-02,3,2020-10-04,2
Midlands,2020-10-03,2,2020-10-04,1
North East And Yorkshire,2020-10-01,1,2020-10-04,3
North East And Yorkshire,2020-10-02,8,2020-10-04,2
North East And Yorkshire,2020-10-03,2,2020-10-04,1
North West,2020-10-01,0,2020-10-04,3
North West,2020-10-02,3,2020-10-04,2
North West,2020-10-03,3,2020-10-04,1
South East,2020-10-01,1,2020-10-04,3
South East,2020-10-02,1,2020-10-04,2
South East,2020-10-03,0,2020-10-04,1
South West,2020-10-01,0,2020-10-04,3
South West,2020-10-02,0,2020-10-04,2
South West,2020-10-03,0,2020-10-04,1
England,2020-10-01,2,2020-10-05,4
England,2020-10-02,1,2020-10-05,3
England,2020-10-03,7,2020-10-05,2
East Of England,2020-10-01,0,2020-10-05,4
East Of England,2020-10-02,0,2020-10-05,3
East Of England,2020-10-03,0,2020-10-05,2
London,2020-10-01,0,2020-10-05,4
London,2020-10-02,0,2020-10-05,3
London,2020-10-03,1,2020-10-05,2
Midlands,2020-10-01,0,2020-10-05,4
Midlands,2020-10-02,1,2020-10-05,3
Midlands,2020-10-03,1,2020-10-05,2
North East And Yorkshire,2020-10-01,0,2020-10-05,4
North East And Yorkshire,2020-10-02,0,2020-10-05,3
North East And Yorkshire,2020-10-03,4,2020-10-05,2
North West,2020-10-01,2,2020-10-05,4
North West,2020-10-02,0,2020-10-05,3
North West,2020-10-03,1,2020-10-05,2
South East,2020-10-01,0,2020-10-05,4
South East,2020-10-02,0,2020-10-05,3
South East,2020-10-03,0,2020-10-05,2
South West,2020-10-01,0,2020-10-05,4
South West,2020-10-02,0,2020-10-05,3
South West,2020-10-03,0,2020-10-05,2
England,2020-10-01,2,2020-10-06,5
England,2020-10-02,8,2020-10-06,4
England,2020-10-03,15,2020-10-06,3
England,2020-10-04,18,2020-10-06,2
England,2020-10-05,7,2020-10-06,1
East Of England,2020-10-01,0,2020-10-06,5
East Of England,2020-10-02,0,2020-10-06,4
East Of England,2020-10-03,0,2020-10-06,3
East Of England,2020-10-04,0,2020-10-06,2
East Of England,2020-10-05,0,2020-10-06,1
London,2020-10-01,0,2020-10-06,5
London,2020-10-02,0,2020-10-06,4
London,2020-10-03,2,2020-10-06,3
London,2020-10-04,1,2020-10-06,2
London,2020-10-05,1,2020-10-06,1
Midlands,2020-10-01,1,2020-10-06,5
Midlands,2020-10-02,0,2020-10-06,4
Midlands,2020-10-03,2,2020-10-06,3
Midlands,2020-10-04,2,2020-10-06,2
Midlands,2020-10-05,0,2020-10-06,1
North East And Yorkshire,2020-10-01,0,2020-10-06,5
North East And Yorkshire,2020-10-02,4,2020-10-06,4
North East And Yorkshire,2020-10-03,4,2020-10-06,3
North East And Yorkshire,2020-10-04,7,2020-10-06,2
North East And Yorkshire,2020-10-05,2,2020-10-06,1
North West,2020-10-01,1,2020-10-06,5
North West,2020-10-02,4,2020-10-06,4
North West,2020-10-03,7,2020-10-06,3
North West,2020-10-04,7,2020-10-06,2
North West,2020-10-05,4,2020-10-06,1
South East,2020-10-01,0,2020-10-06,5
South East,2020-10-02,0,2020-10-06,4
South East,2020-10-03,0,2020-10-06,3
South East,2020-10-04,1,2020-10-06,2
South East,2020-10-05,0,2020-10-06,1
South West,2020-10-01,0,2020-10-06,5
South West,2020-10-02,0,2020-10-06,4
South West,2020-10-03,0,2020-10-06,3
South West,2020-10-04,0,2020-10-06,2
South West,2020-10-05,0,2020-10-06,1
England,2020-09-28,1,2020-10-07,9
England,2020-09-30,2,2020-10-07,7
England,2020-10-01,2,2020-10-07,6
England,2020-10-02,5,2020-10-07,5
England,2020-10-03,5,2020-10-07,4
England,2020-10-04,13,2020-10-07,3
England,2020-10-05,17,2020-10-07,2
England,2020-10-06,9,2020-10-07,1
East Of England,2020-09-28,0,2020-10-07,9
East Of England,2020-09-30,0,2020-10-07,7
East Of England,2020-10-01,0,2020-10-07,6
East Of England,2020-10-02,0,2020-10-07,5
East Of England,2020-10-03,0,2020-10-07,4
East Of England,2020-10-04,0,2020-10-07,3
East Of England,2020-10-05,0,2020-10-07,2
East Of England,2020-10-06,1,2020-10-07,1
London,2020-09-28,0,2020-10-07,9
London,2020-09-30,0,2020-10-07,7
London,2020-10-01,0,2020-10-07,6
London,2020-10-02,1,2020-10-07,5
London,2020-10-03,0,2020-10-07,4
London,2020-10-04,0,2020-10-07,3
London,2020-10-05,3,2020-10-07,2
London,2020-10-06,0,2020-10-07,1
Midlands,2020-09-28,0,2020-10-07,9
Midlands,2020-09-30,0,2020-10-07,7
Midlands,2020-10-01,0,2020-10-07,6
Midlands,2020-10-02,0,2020-10-07,5
Midlands,2020-10-03,0,2020-10-07,4
Midlands,2020-10-04,3,2020-10-07,3
Midlands,2020-10-05,4,2020-10-07,2
Midlands,2020-10-06,0,2020-10-07,1
North East And Yorkshire,2020-09-28,0,2020-10-07,9
North East And Yorkshire,2020-09-30,0,2020-10-07,7
North East And Yorkshire,2020-10-01,0,2020-10-07,6
North East And Yorkshire,2020-10-02,2,2020-10-07,5
North East And Yorkshire,2020-10-03,1,2020-10-07,4
North East And Yorkshire,2020-10-04,3,2020-10-07,3
North East And Yorkshire,2020-10-05,6,2020-10-07,2
North East And Yorkshire,2020-10-06,4,2020-10-07,1
North West,2020-09-28,1,2020-10-07,9
North West,2020-09-30,2,2020-10-07,7
North West,2020-10-01,1,2020-10-07,6
North West,2020-10-02,1,2020-10-07,5
North West,2020-10-03,3,2020-10-07,4
North West,2020-10-04,7,2020-10-07,3
North West,2020-10-05,3,2020-10-07,2
North West,2020-10-06,4,2020-10-07,1
South East,2020-09-28,0,2020-10-07,9
South East,2020-09-30,0,2020-10-07,7
South East,2020-10-01,1,2020-10-07,6
South East,2020-10-02,1,2020-10-07,5
South East,2020-10-03,1,2020-10-07,4
South East,2020-10-04,0,2020-10-07,3
South East,2020-10-05,1,2020-10-07,2
South East,2020-10-06,0,2020-10-07,1
South West,2020-09-28,0,2020-10-07,9
South West,2020-09-30,0,2020-10-07,7
South West,2020-10-01,0,2020-10-07,6
South West,2020-10-02,0,2020-10-07,5
South West,2020-10-03,0,2020-10-07,4
South West,2020-10-04,0,2020-10-07,3
South West,2020-10-05,0,2020-10-07,2
South West,2020-10-06,0,2020-10-07,1
England,2020-08-10,1,2020-10-08,59
England,2020-08-17,1,2020-10-08,52
England,2020-09-21,1,2020-10-08,17
England,2020-10-04,2,2020-10-08,4
England,2020-10-05,6,2020-10-08,3
England,2020-10-06,22,2020-10-08,2
England,2020-10-07,10,2020-10-08,1
East Of England,2020-08-10,0,2020-10-08,59
East Of England,2020-08-17,0,2020-10-08,52
East Of England,2020-09-21,0,2020-10-08,17
East Of England,2020-10-04,0,2020-10-08,4
East Of England,2020-10-05,0,2020-10-08,3
East Of England,2020-10-06,2,2020-10-08,2
East Of England,2020-10-07,0,2020-10-08,1
London,2020-08-10,0,2020-10-08,59
London,2020-08-17,0,2020-10-08,52
London,2020-09-21,0,2020-10-08,17
London,2020-10-04,1,2020-10-08,4
London,2020-10-05,2,2020-10-08,3
London,2020-10-06,3,2020-10-08,2
London,2020-10-07,0,2020-10-08,1
Midlands,2020-08-10,0,2020-10-08,59
Midlands,2020-08-17,0,2020-10-08,52
Midlands,2020-09-21,0,2020-10-08,17
Midlands,2020-10-04,1,2020-10-08,4
Midlands,2020-10-05,1,2020-10-08,3
Midlands,2020-10-06,4,2020-10-08,2
Midlands,2020-10-07,4,2020-10-08,1
North East And Yorkshire,2020-08-10,1,2020-10-08,59
North East And Yorkshire,2020-08-17,1,2020-10-08,52
North East And Yorkshire,2020-09-21,1,2020-10-08,17
North East And Yorkshire,2020-10-04,0,2020-10-08,4
North East And Yorkshire,2020-10-05,1,2020-10-08,3
North East And Yorkshire,2020-10-06,8,2020-10-08,2
North East And Yorkshire,2020-10-07,1,2020-10-08,1
North West,2020-08-10,0,2020-10-08,59
North West,2020-08-17,0,2020-10-08,52
North West,2020-09-21,0,2020-10-08,17
North West,2020-10-04,0,2020-10-08,4
North West,2020-10-05,1,2020-10-08,3
North West,2020-10-06,5,2020-10-08,2
North West,2020-10-07,5,2020-10-08,1
South East,2020-08-10,0,2020-10-08,59
South East,2020-08-17,0,2020-10-08,52
South East,2020-09-21,0,2020-10-08,17
South East,2020-10-04,0,2020-10-08,4
South East,2020-10-05,1,2020-10-08,3
South East,2020-10-06,0,2020-10-08,2
South East,2020-10-07,0,2020-10-08,1
South West,2020-08-10,0,2020-10-08,59
South West,2020-08-17,0,2020-10-08,52
South West,2020-09-21,0,2020-10-08,17
South West,2020-10-04,0,2020-10-08,4
South West,2020-10-05,0,2020-10-08,3
South West,2020-10-06,0,2020-10-08,2
South West,2020-10-07,0,2020-10-08,1
England,2020-03-31,1,2020-10-09,192
England,2020-04-21,1,2020-10-09,171
England,2020-10-02,2,2020-10-09,7
England,2020-10-03,2,2020-10-09,6
England,2020-10-05,4,2020-10-09,4
England,2020-10-06,8,2020-10-09,3
England,2020-10-07,31,2020-10-09,2
England,2020-10-08,7,2020-10-09,1
East Of England,2020-03-31,0,2020-10-09,192
East Of England,2020-04-21,0,2020-10-09,171
East Of England,2020-10-02,0,2020-10-09,7
East Of England,2020-10-03,1,2020-10-09,6
East Of England,2020-10-05,0,2020-10-09,4
East Of England,2020-10-06,1,2020-10-09,3
East Of England,2020-10-07,4,2020-10-09,2
East Of England,2020-10-08,0,2020-10-09,1
London,2020-03-31,1,2020-10-09,192
London,2020-04-21,1,2020-10-09,171
London,2020-10-02,0,2020-10-09,7
London,2020-10-03,0,2020-10-09,6
London,2020-10-05,0,2020-10-09,4
London,2020-10-06,0,2020-10-09,3
London,2020-10-07,6,2020-10-09,2
London,2020-10-08,0,2020-10-09,1
Midlands,2020-03-31,0,2020-10-09,192
Midlands,2020-04-21,0,2020-10-09,171
Midlands,2020-10-02,1,2020-10-09,7
Midlands,2020-10-03,1,2020-10-09,6
Midlands,2020-10-05,0,2020-10-09,4
Midlands,2020-10-06,0,2020-10-09,3
Midlands,2020-10-07,3,2020-10-09,2
Midlands,2020-10-08,0,2020-10-09,1
North East And Yorkshire,2020-03-31,0,2020-10-09,192
North East And Yorkshire,2020-04-21,0,2020-10-09,171
North East And Yorkshire,2020-10-02,0,2020-10-09,7
North East And Yorkshire,2020-10-03,0,2020-10-09,6
North East And Yorkshire,2020-10-05,1,2020-10-09,4
North East And Yorkshire,2020-10-06,0,2020-10-09,3
North East And Yorkshire,2020-10-07,6,2020-10-09,2
North East And Yorkshire,2020-10-08,3,2020-10-09,1
North West,2020-03-31,0,2020-10-09,192
North West,2020-04-21,0,2020-10-09,171
North West,2020-10-02,1,2020-10-09,7
North West,2020-10-03,0,2020-10-09,6
North West,2020-10-05,3,2020-10-09,4
North West,2020-10-06,7,2020-10-09,3
North West,2020-10-07,8,2020-10-09,2
North West,2020-10-08,4,2020-10-09,1
South East,2020-03-31,0,2020-10-09,192
South East,2020-04-21,0,2020-10-09,171
South East,2020-10-02,0,2020-10-09,7
South East,2020-10-03,0,2020-10-09,6
South East,2020-10-05,0,2020-10-09,4
South East,2020-10-06,0,2020-10-09,3
