Date,Percentage
03/05/2020,0.0027
10/05/2020,0.0025
17/05/2020,0.0024
24/05/2020,0.0010
31/05/2020,0.0006
07/06/2020,0.0006
14/06/2020,0.0009
21/06/2020,0.0004
28/06/2020,0.0003
09/07/2020,0.0004
16/07/2020,0.0005
23/07/2020,0.0007
30/07/2020,0.0005
06/08/2020,0.0005
10/08/2020,0.0005
17/08/2020,0.0005
24/08/2020,0.0005
02/09/2020,0.0007
07/09/2020,0.0011
16/09/2020,0.0019
21/09/2020,0.0021
28/09/2020,0.0041
05/10/2020,0.0062
13/10/2020,0.0079
20/10/2020,0.0104
28/10/2020,0.0113
03/11/2020,0.0120
11/11/2020,0.0122
18/11/2020,0.0116
25/11/2020,0.0096
02/12/2020,0.0088
09/12/2020,0.0104
15/12/2020,0.0118
,
