CountryName,CountryCode,Date,cases_weekly,deaths_weekly,StringencyIndex,StringencyIndexForDisplay,Population,deaths_weekly_scaled
Albania,ALB,2021-01-18T00:00:00Z,4095,36,60.19,60.19,2.876101,12.516945684452669
Albania,ALB,2021-01-11T00:00:00Z,4157,48,60.19,60.19,2.876101,16.689260912603558
Albania,ALB,2021-01-04T00:00:00Z,2866,29,56.48,56.48,2.876101,10.083095134697983
Albania,ALB,2020-12-28T00:00:00Z,3569,76,56.48,56.48,2.876101,26.424663111622298
Albania,ALB,2020-12-21T00:00:00Z,4473,85,60.19,60.19,2.876101,29.553899532735464
Albania,ALB,2020-12-14T00:00:00Z,5542,98,65.74,65.74,2.876101,34.0739076965656
Albania,ALB,2020-12-07T00:00:00Z,5363,107,65.74,65.74,2.876101,37.20314411767876
Albania,ALB,2020-11-30T00:00:00Z,4864,99,65.74,65.74,2.876101,34.42160063224484
Albania,ALB,2020-11-23T00:00:00Z,4931,76,65.74,65.74,2.876101,26.424663111622298
Albania,ALB,2020-11-16T00:00:00Z,3624,64,65.74,65.74,2.876101,22.25234788347141
Albania,ALB,2020-11-09T00:00:00Z,3004,41,50.93,50.93,2.876101,14.255410362848872
Albania,ALB,2020-11-02T00:00:00Z,2045,41,50.93,50.93,2.876101,14.255410362848872
Albania,ALB,2020-10-26T00:00:00Z,2102,26,54.63,54.63,2.876101,9.04001632766026
Albania,ALB,2020-10-19T00:00:00Z,1656,31,54.63,54.63,2.876101,10.778481006056465
Albania,ALB,2020-10-12T00:00:00Z,1133,24,54.63,54.63,2.876101,8.344630456301779
Albania,ALB,2020-10-05T00:00:00Z,1007,19,54.63,54.63,2.876101,6.6061657779055745
Albania,ALB,2020-09-28T00:00:00Z,874,15,54.63,54.63,2.876101,5.215394035188612
Albania,ALB,2020-09-21T00:00:00Z,1032,28,54.63,54.63,2.876101,9.735402199018742
Albania,ALB,2020-09-14T00:00:00Z,1098,18,54.63,54.63,2.876101,6.258472842226334
Albania,ALB,2020-09-07T00:00:00Z,875,36,54.63,54.63,2.876101,12.516945684452669
Albania,ALB,2020-08-31T00:00:00Z,953,30,54.63,54.63,2.876101,10.430788070377224
Albania,ALB,2020-08-24T00:00:00Z,1047,22,57.41,57.41,2.876101,7.649244584943297
Albania,ALB,2020-08-17T00:00:00Z,969,29,57.41,57.41,2.876101,10.083095134697983
Albania,ALB,2020-08-10T00:00:00Z,892,33,57.41,57.41,2.876101,11.473866877414945
Albania,ALB,2020-08-03T00:00:00Z,756,28,62.96,62.96,2.876101,9.735402199018742
Albania,ALB,2020-07-27T00:00:00Z,673,26,62.96,62.96,2.876101,9.04001632766026
Albania,ALB,2020-07-20T00:00:00Z,636,19,62.96,62.96,2.876101,6.6061657779055745
Albania,ALB,2020-07-13T00:00:00Z,561,17,62.96,62.96,2.876101,5.910779906547093
Albania,ALB,2020-07-06T00:00:00Z,491,21,62.96,62.96,2.876101,7.301551649264057
Albania,ALB,2020-06-29T00:00:00Z,475,11,68.52,68.52,2.876101,3.8246222924716484
Albania,ALB,2020-06-22T00:00:00Z,406,8,68.52,68.52,2.876101,2.781543485433926
Albania,ALB,2020-06-15T00:00:00Z,275,2,71.3,71.3,2.876101,0.6953858713584815
Albania,ALB,2020-06-08T00:00:00Z,109,1,71.3,71.3,2.876101,0.34769293567924076
Albania,ALB,2020-06-01T00:00:00Z,139,1,71.3,71.3,2.876101,0.34769293567924076
Albania,ALB,2020-05-25T00:00:00Z,52,1,83.33,83.33,2.876101,0.34769293567924076
Albania,ALB,2020-05-18T00:00:00Z,78,0,83.33,83.33,2.876101,0
Albania,ALB,2020-05-11T00:00:00Z,73,0,89.81,89.81,2.876101,0
Albania,ALB,2020-05-04T00:00:00Z,69,3,89.81,89.81,2.876101,1.0430788070377224
Albania,ALB,2020-04-27T00:00:00Z,164,2,89.81,89.81,2.876101,0.6953858713584815
Albania,ALB,2020-04-20T00:00:00Z,116,3,89.81,89.81,2.876101,1.0430788070377224
Albania,ALB,2020-04-13T00:00:00Z,85,2,84.26,84.26,2.876101,0.6953858713584815
Albania,ALB,2020-04-06T00:00:00Z,149,11,84.26,84.26,2.876101,3.8246222924716484
Albania,ALB,2020-03-30T00:00:00Z,123,8,84.26,84.26,2.876101,2.781543485433926
Albania,ALB,2020-03-23T00:00:00Z,47,1,84.26,84.26,2.876101,0.34769293567924076
Albania,ALB,2020-03-16T00:00:00Z,40,1,81.48,81.48,2.876101,0.34769293567924076
Albania,ALB,2020-03-09T00:00:00Z,2,0,36.11,36.11,2.876101,0
Austria,AUT,2021-01-18T00:00:00Z,11406,383,82.41,82.41,8.747358,43.78464903345673
Austria,AUT,2021-01-11T00:00:00Z,15133,378,82.41,82.41,8.747358,43.21304787114006
Austria,AUT,2021-01-04T00:00:00Z,13188,381,82.41,82.41,8.747358,43.55600856853006
Austria,AUT,2020-12-28T00:00:00Z,15164,656,82.41,82.41,8.747358,74.99407249594678
Austria,AUT,2020-12-21T00:00:00Z,16186,816,71.3,71.3,8.747358,93.28530969008014
Austria,AUT,2020-12-14T00:00:00Z,19060,668,71.3,71.3,8.747358,76.36591528550677
Austria,AUT,2020-12-07T00:00:00Z,22794,828,71.3,71.3,8.747358,94.65715247964013
Austria,AUT,2020-11-30T00:00:00Z,32058,705,82.41,82.41,8.747358,80.59576388665012
Austria,AUT,2020-11-23T00:00:00Z,42630,520,82.41,82.41,8.747358,59.44652088093342
Austria,AUT,2020-11-16T00:00:00Z,50986,344,75,75,8.747358,39.32615996738672
Austria,AUT,2020-11-09T00:00:00Z,41398,221,75,75,8.747358,25.2647713743967
Austria,AUT,2020-11-02T00:00:00Z,28574,130,75,75,8.747358,14.861630220233355
Austria,AUT,2020-10-26T00:00:00Z,16979,74,60.19,60.19,8.747358,8.459697202286678
Austria,AUT,2020-10-19T00:00:00Z,9574,46,58.8,58.8,8.747358,5.258730693313341
Austria,AUT,2020-10-12T00:00:00Z,7365,51,40.74,40.74,8.747358,5.830331855630009
Austria,AUT,2020-10-05T00:00:00Z,5152,26,40.74,40.74,8.747358,2.972326044046671
Austria,AUT,2020-09-28T00:00:00Z,4909,21,37.04,37.04,8.747358,2.4007248817300035
Austria,AUT,2020-09-21T00:00:00Z,5222,10,37.04,37.04,8.747358,1.143202324633335
Austria,AUT,2020-09-14T00:00:00Z,4141,20,36.11,36.11,8.747358,2.28640464926667
Austria,AUT,2020-09-07T00:00:00Z,1976,3,36.11,36.11,8.747358,0.3429606973900005
